"g_dyad_ID_post","g_edge_weights_post","ind1_ID","ind2_ID","ind1_knowledge","ind2_knowledge","knowledge_comb","knowledge_comb2","dyad_ID","g_edge_weights_pre","HKLK_no_dual_events_mean","edge_diff_abs","knowledge_comb3","knowledge_comb4","edge_diff_resid","ind1_visit_no_pre","ind2_visit_no_pre","ind1_visit_no_post","ind2_visit_no_post","new_edge","HKLK_no_dual_events_binary","knowledge_comb2_HKLK_dual_events_binary","HKLK_no_dual_events_binary_c","HKLK_no_dual_events_mean_gc","HKLK_no_dual_events_mean_gc_z","HKLK_no_dual_events_mean_z","edge_diff_resid_10","g_edge_weights_pre_z"
"J3610 J5012",0.0319148936170213,"J3610","J5012","naive","naive","naive naive","naive naive","J3610 J5012",0.0245098039215686,0,0.0074050896954527,"same","naive",0.00604865147744669,169,199,111,35,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,0.0604865147744669,-0.263273596645048
"J3610 J5021",0.285714285714286,"J3610","J5021","naive","naive","naive naive","naive naive","J3610 J5021",0.295698924731183,0,-0.009984639016897,"same","naive",0.160198247389437,169,152,111,127,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,1.60198247389437,6.27233462578565
"J3610 J5476",0.0420168067226891,"J3610","J5476","naive","naive","naive naive","naive naive","J3610 J5476",0.00641025641025641,0,0.0356065503124327,"same","naive",0.0228013336669309,169,48,111,66,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,0.228013336669309,-0.699469382021897
"J3610 J5645",0.0235294117647059,"J3610","J5645","naive","naive","naive naive","naive naive","J3610 J5645",0.0459183673469388,0,-0.0223889555822329,"same","naive",-0.010203513874519,169,144,111,161,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,-0.10203513874519,0.252668867180803
"J3679 J3702",0.00709219858156028,"J3679","J3702","naive","naive","naive naive","naive naive","J3679 J3702",0.05,0,-0.0429078014184397,"same","naive",-0.0281405433510558,54,42,141,157,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,-0.281405433510558,0.351035467760684
"J3679 J3759",0.024,"J3679","J3759","naive","knowledge","naive knowledge","knowledge naive","J3679 J3759",0.0384615384615385,0,-0.0144615384615385,"different","knowledge",-0.00699287664168315,54,55,141,132,"old",0,"knowledge naive_0",-0.5,-2.91891891891892,-0.323867453226871,-0.229061120372005,-0.0699287664168315,0.0729606545829427
"J3679 J3899",0.0105263157894737,"J3679","J3899","naive","naive","naive naive","naive naive","J3679 J3899",0.0285714285714286,0,-0.0180451127819549,"same","naive",-0.0168323906028383,54,20,141,26,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,-0.168323906028383,-0.165389185283694
"J3679 J4044",0.0193236714975845,"J3679","J4044","naive","naive","naive naive","naive naive","J3679 J4044",0.0925925925925926,0,-0.0732689210950081,"same","naive",-0.0315599312003275,54,56,141,246,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,-0.315599312003275,1.37750916084889
"J3679 J4151",0.0078125,"J3679","J4151","naive","naive","naive naive","naive naive","J3679 J4151",0.00757575757575758,0,0.00023674242424242,"same","naive",-0.0118312422770645,54,210,141,56,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,-0.118312422770645,-0.671381017054448
"J3679 J4514",0.00970873786407767,"J3679","J4514","naive","knowledge","naive knowledge","knowledge naive","J3679 J4514",0.0882352941176471,0,-0.0785265562535694,"different","knowledge",-0.0395737537581007,54,53,141,69,"old",0,"knowledge naive_0",-0.5,-2.91891891891892,-0.323867453226871,-0.229061120372005,-0.395737537581007,1.27249906436928
"J3679 J4521",0.0121212121212121,"J3679","J4521","naive","knowledge","naive knowledge","knowledge naive","J3679 J4521",0.00813008130081301,0,0.00399113082039909,"different","knowledge",-0.00772621917574204,54,353,141,172,"old",0,"knowledge naive_0",-0.5,-2.91891891891892,-0.323867453226871,-0.229061120372005,-0.0772621917574204,-0.658021916643101
"J3679 J4552",0.0526315789473684,"J3679","J4552","naive","naive","naive naive","naive naive","J3679 J4552",0.027027027027027,0,0.0256045519203414,"same","naive",0.0258403706120153,54,23,141,182,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,0.258403706120153,-0.202608980097704
"J3679 J4569",0.0232558139534884,"J3679","J4569","naive","naive","naive naive","naive naive","J3679 J4569",0.0357142857142857,0,-0.0124584717607973,"same","naive",-0.00672757095225831,54,121,141,98,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,-0.0672757095225831,0.00675236573109809
"J3679 J4699",0.0333333333333333,"J3679","J4699","naive","naive","naive naive","naive naive","J3679 J4699",0.00943396226415094,0,0.0238993710691824,"same","naive",0.0130067844675822,54,175,141,352,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,0.130067844675822,-0.626598623851629
"J3679 J4961",0.0185185185185185,"J3679","J4961","naive","naive","naive naive","naive naive","J3679 J4961",0.0344827586206897,0,-0.0159642401021712,"same","naive",-0.0110123356090498,54,25,141,75,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,-0.110123356090498,-0.0229272120300715
"J3679 J4986",0.0483870967741935,"J3679","J4986","naive","naive","naive naive","naive naive","J3679 J4986",0.0344827586206897,0,0.0139043381535038,"same","naive",0.0188562426466252,54,8,141,94,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,0.188562426466252,-0.0229272120300715
