"ID1","ID2"
"J1266","J5475"
"J1266","J5476"
"J1266","J5477"
"J1266","J5489"
"J1266","J5503"
"J1266","J5519"
"J1266","J5559"
"J1266","J5566"
"J1266","J5568"
"J1266","J5582"
"J1266","J5583"
"J1266","J5595"
"J1266","J56"
"J1266","J5607"
"J1266","J5618"
"J1266","J5645"
"J1266","J5657A"
"J1266","J5658"
"J1266","J595"
"J1266","J5999"
"J1266","J6000"
"J1266","J6014"
"J1266","J6017"
"J1266","J6023"
"J1266","J6024"
"J1266","J6027"
"J1266","J640"
"J1266","J664"
"J1266","J910"
"J1266","J971"
"J1266","J990"
"J1317","J1345"
"J1317","J1351"
"J1317","J1458"
"J1317","J1480"
"J1317","J1529"
"J1317","J1556"
"J1317","J1618"
"J1317","J1623"
"J1317","J1627"
"J1317","J1631"
"J1317","J164"
"J1317","J1735"
"J1317","J1902"
"J1317","J1916"
"J1317","J1962"
"J1317","J1964"
"J1317","J1973"
"J1317","J2039"
"J1317","J2124"
"J1317","J2128"
"J1317","J2168"
"J1317","J2196"
"J1317","J2375"
"J1317","J2377"
"J1317","J2392"
"J1317","J2415"
"J1317","J2488"
"J1317","J2563"
"J1317","J2572"
"J1317","J2621"
"J1317","J2661"
"J1317","J2728"
"J1317","J2801"
"J1317","J2941"
"J1317","J295"
"J1317","J2969"
"J1317","J3096"
"J1317","J3305"
"J1317","J3369"
"J1317","J3383"
"J1317","J3492"
"J1317","J3508"
"J1317","J3549"
"J1317","J3610"
"J1317","J3679"
"J1317","J3702"
"J1317","J3714"
"J1317","J3715"
"J1317","J3716"
"J1317","J3718"
"J1317","J3749"
"J1317","J3753"
"J1317","J3759"
"J1317","J3845"
"J1317","J3884"
"J1317","J3899"
"J1317","J3987"
"J1317","J4001"
"J1317","J4044"
"J1317","J4046"
"J1317","J4109"
"J1317","J4112"
"J1317","J4126"
"J1317","J4151"
"J1317","J4161"
"J1317","J4162"
"J1317","J4189"
"J1317","J42"
"J1317","J4214"
"J1317","J4304"
"J1317","J4315"
"J1317","J4345"
"J1317","J4514"
"J1317","J4521"
"J1317","J4552"
"J1317","J4569"
"J1317","J4601"
"J1317","J4651"
"J1317","J4654"
"J1317","J4715"
"J1317","J4728"
"J1317","J4731"
"J1317","J4747"
"J1317","J4782"
"J1317","J4840"
"J1317","J4954"
"J1317","J4961"
"J1317","J4962"
"J1317","J4967"
"J1317","J4968"
"J1317","J4986"
"J1317","J4998"
"J1317","J5006"
"J1317","J5012"
"J1317","J5017"
"J1317","J5021"
"J1317","J5043"
"J1317","J505"
"J1317","J5053"
"J1317","J5074"
"J1317","J5089"
"J1317","J5095"
"J1317","J5121"
"J1317","J5146"
"J1317","J5215"
"J1317","J5222"
"J1317","J5255"
"J1317","J5269"
"J1317","J5271"
"J1317","J5309"
"J1317","J5316"
"J1317","J5379"
"J1317","J5428"
"J1317","J5456"
"J1317","J5475"
"J1317","J5476"
"J1317","J5477"
