"JID","knowledge","phase","feeder","visit_number"
"J5548","naive","post_knowledge","visit_number_LK",3
"J5548","naive","post_knowledge","visit_number_HK",0
"J5559","naive","post_knowledge","visit_number_LK",11
"J5559","naive","post_knowledge","visit_number_HK",17
"J5566","naive","post_knowledge","visit_number_LK",25
"J5566","naive","post_knowledge","visit_number_HK",17
"J5568","knowledgeable","post_knowledge","visit_number_LK",31
"J5568","knowledgeable","post_knowledge","visit_number_HK",38
"J5570","naive","post_knowledge","visit_number_LK",0
"J5570","naive","post_knowledge","visit_number_HK",1
"J55774","naive","post_knowledge","visit_number_LK",2
"J55774","naive","post_knowledge","visit_number_HK",1
"J558","naive","post_knowledge","visit_number_LK",1
"J558","naive","post_knowledge","visit_number_HK",0
"J5582","naive","post_knowledge","visit_number_LK",35
"J5582","naive","post_knowledge","visit_number_HK",6
"J5583","naive","post_knowledge","visit_number_LK",14
"J5583","naive","post_knowledge","visit_number_HK",4
"J5584","naive","post_knowledge","visit_number_LK",1
"J5584","naive","post_knowledge","visit_number_HK",0
"J5595","naive","post_knowledge","visit_number_LK",16
"J5595","naive","post_knowledge","visit_number_HK",28
"J5596","naive","post_knowledge","visit_number_LK",0
"J5596","naive","post_knowledge","visit_number_HK",6
"J56","naive","post_knowledge","visit_number_LK",5
"J56","naive","post_knowledge","visit_number_HK",1
"J5607","naive","post_knowledge","visit_number_LK",213
"J5607","naive","post_knowledge","visit_number_HK",48
"J5618","naive","post_knowledge","visit_number_LK",0
"J5618","naive","post_knowledge","visit_number_HK",1
"J5626","naive","post_knowledge","visit_number_LK",0
"J5626","naive","post_knowledge","visit_number_HK",1
"J563","naive","post_knowledge","visit_number_LK",8
"J563","naive","post_knowledge","visit_number_HK",0
"J5639","naive","post_knowledge","visit_number_LK",0
"J5639","naive","post_knowledge","visit_number_HK",1
"J5645","naive","post_knowledge","visit_number_LK",64
"J5645","naive","post_knowledge","visit_number_HK",29
"J5649","naive","post_knowledge","visit_number_LK",9
"J5649","naive","post_knowledge","visit_number_HK",4
"J5650","knowledgeable","post_knowledge","visit_number_LK",11
"J5650","knowledgeable","post_knowledge","visit_number_HK",12
"J5651","naive","post_knowledge","visit_number_LK",108
"J5651","naive","post_knowledge","visit_number_HK",21
"J5657A","naive","post_knowledge","visit_number_LK",4
"J5657A","naive","post_knowledge","visit_number_HK",4
"J5657B","naive","post_knowledge","visit_number_LK",1
"J5657B","naive","post_knowledge","visit_number_HK",7
"J5658","naive","post_knowledge","visit_number_LK",58
"J5658","naive","post_knowledge","visit_number_HK",23
"J5675B","naive","post_knowledge","visit_number_LK",6
"J5675B","naive","post_knowledge","visit_number_HK",18
"J5681A","naive","post_knowledge","visit_number_LK",1
"J5681A","naive","post_knowledge","visit_number_HK",1
"J5686","naive","post_knowledge","visit_number_LK",3
"J5686","naive","post_knowledge","visit_number_HK",3
"J5693","knowledgeable","post_knowledge","visit_number_LK",19
"J5693","knowledgeable","post_knowledge","visit_number_HK",8
"J5694","knowledgeable","post_knowledge","visit_number_LK",171
"J5694","knowledgeable","post_knowledge","visit_number_HK",569
"J5695","knowledgeable","post_knowledge","visit_number_LK",249
"J5695","knowledgeable","post_knowledge","visit_number_HK",448
"J5697","naive","post_knowledge","visit_number_LK",6
"J5697","naive","post_knowledge","visit_number_HK",3
"J5701","naive","post_knowledge","visit_number_LK",14
"J5701","naive","post_knowledge","visit_number_HK",11
"J5703","knowledgeable","post_knowledge","visit_number_LK",12
"J5703","knowledgeable","post_knowledge","visit_number_HK",22
